,Fecha,Ubicacion,Aerolinea,Suceso
1,1931-03-31,"Bazaar, Kansas",Trans Cont. & West AW,"Aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars."
2,1947-10-24,"Bryce Canyon, Utah",United AL,Allowed vented fuel to be carried back into the cabin heater air intake causing a fire.
3,1947-11-11,"Gallup, New Mexico",American AL,Allowed vented fuel to be carried back into the cabin heater air intake causing a fire.
4,1948-06-17,"Mt. Carmel, Pennsylvania",United AL,Design flaw allowed carbon dioxide used to suppress a fire to leak into the cockpit and asphyxiate the crew.
5,1948-08-29,"Winona, Minnesota",Northwest Orient AL,Loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange.
6,1954-01-10,"Elba, Italy",British Overseas AW,Metal fatigue due to a design flaw.
7,1954-04-08,"Off Stromboli, Italy",Trans Canada AL,Metal fatigue due to a design flaw.
8,1955-02-05,"Calabar, Nigeria",West African AW,A design flaw in the wing led to fatigue cracks and wing failure.
9,1959-09-29,"Buffalo, Texas",Braniff AL,A design flaw caused an oscillation known as mode to transfer propeller wobble to the outboard nacelles and induce flutter in the wing which led to the separation of the wing.
10,1960-03-17,"Tell City, Indiana",Northwest Orient AL,A design flaw caused an oscillation known as mode to transfer propeller wobble to the outboard nacelles and induce flutter in the wing which led to the separation of the wing.
11,1970-07-05,"Toronto, Canada",Air Canada,Faulty design by allowing the spoiler handle to perform two different unrelated tasks.
12,1974-03-03,"Ermenonville, France",Turkish AL,A defect in the latching mechanism on the cargo door.
13,1982-07-06,"Moscow, Russia",Aeroflot,Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.
14,1989-02-24,United Air Lines,"Honolulu, Hawaii",Poorly designed latching mechanism of cargo door.
15,1993-04-06,Over the Pacific Ocean,China Eastern AL,Inadequate design of flap/slat actuation handle that allowed it to be inadvertently dislodged from the UP/RET position causing extension of the leading edge slats.
16,1991-03-03,"Colorado Springs, Colorado",United AL,Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. Design flaw.
17,1993-04-06,"Shemya, Alaska",China Eastern Airlines,"Inadequate design of the flap/slat actuation handle that allowed the handle to be easily and inadvertently dislodged from the UP/RET position,"
18,1994-09-08,"Aliquippa, Pennsylvania",USair,Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. Design flaw.
19,1994-10-31,"Roselawn, Indiana",American Eagle,The design of the rubber de-icing boot was insufficient to deal with icing on the wings.
20,1997-12-05,"Irkutsk, Russia",Russian Air Force,Design flaw which led to uncoordinated operation of the high-pressure compressors.
21,2018-10-29,Off Jakarta Indonesia,Lion Air,Software design flaw. Boeing 737 Max8
22,2019-08-10,"Bishoftu, Ethiopia",Etiopian Airlines,Software design flaw. Boeing 737 Max8
