,Fecha,Ubicacion,Aerolinea,Suceso,Categoria
1,1923-05-14,"Amiens, Picrdie, France",Air Union,Possibly started by a passenger discarding a match after lighting a cigarette.,Incendio abordo
2,1928-05-07,"Florianopolis, Brazil","Florianopolis, Brazil",In-flight fire.,Incendio abordo
3,1933-03-28,"Dixmude, Belgium",Imperial Airways,"The fire was thought to have been started by a passenger, Dr. Voss, in an attempt to commit suicide.",Incendio abordo
4,1937-07-28,"Hal, Belgium",KLM,Struck by lightning and after an in-flight fire.,Incendio abordo
5,1937-08-06,"Bistrita, Romania",Aeroflot,A passenger lit a cigarette in the rear toilet and ignited accumulated vapors.,Incendio abordo
6,1939-01-13,"Miles City, Montana",Northwest Orient Airlines,"A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve.",Incendio abordo
7,1939-08-15,"Copenhagen, Denmark",British Airways,Fire caused by overfilling of the fuel tanks.,Incendio abordo
8,1944-04-21,"Frederikstad, Norway",Deutsche Lufthansa,A signal flare started an onboard fire,Incendio abordo
9,1945-09-07,"Florence, South Carolina",Eastern AL,A fire of undetermined origin in the rear cargo compartment or lavatory.,Incendio abordo
10,1946-06-01,"Amalfi, Italy",U.S. Army Air Forces,A fire of undetermined origin erupted in the cockpit.,Incendio abordo
11,1946-07-11,"Reading, Pennsylvania",Trans Continental,In-flight fire caused by failure of a generator lead-through stud installation in the baggage compartment.,Incendio abordo
12,1947-10-24,United Air Lines,"Bryce Canyon, Utah",A design flaw cause gasoline to be sucked back into the cabin heater intake.,Incendio abordo
13,1948-06-17,"Mount Carmel, Pennsylvania",United Air Lines,In-flight fire in cargo hold.,Incendio abordo
14,1948-12-15,"Bogata, Colombia",LANSA,Accidental detonation of fire works being carried aboard leading to the in-flight separation of the wing.,Incendio abordo
15,1949-08-02,"Jaquirana, Brazil",Varig,A fire broke out in cargo hold G.,Incendio abordo
16,1949-12-30,"Comilla, Pakistan",Bharat Airways,A fire erupted in a cargo hold.,Incendio abordo
17,1951-10-27,"Flores, Guatemala",Guatemalan Air Force,A passenger may have started a fire in the aircraft's cabin with a cigarette.,Incendio abordo
18,1954-02-01,"Hokkaido, Japan",U.S. Air Force,Reported fire in the cargo hold.,Incendio abordo
19,1957-11-08,Pacific Ocean,Pan American,Possible in-flight fire. High levels of carbon monoxide were found in bodies.,Incendio abordo
20,1958-09-02,Off Guam,U.S. Air Force,In-flight fire of unknown origin.,Incendio abordo
21,1959-03-01,"Alma, Georgia",Riddle Airlines,The ignition of cargo in the aft belly compartment caused by contact with an unguarded light bulb.,Incendio abordo
